# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 2 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 81
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	534	51	100.0%
2	2678	42	82.4%
3	3308	42	82.4%
4	4650	33	64.7%
5	4876	23	45.1%
6	1578	23	45.1%
7	813	21	41.2%
8	3524	20	39.2%
9	4574	20	39.2%
10	4873	16	31.4%
11	589	16	31.4%
12	3652	15	29.4%
13	4946	15	29.4%
14	2514	14	27.5%
15	1883	13	25.5%
16	3475	12	23.5%
17	2124	12	23.5%
18	2204	11	21.6%
19	3113	10	19.6%
20	2365	10	19.6%
21	1147	10	19.6%
22	2113	9	17.6%
23	4238	9	17.6%
24	4981	8	15.7%
25	3978	8	15.7%
26	2691	8	15.7%
27	3421	7	13.7%
28	3658	7	13.7%
29	175	6	11.8%
30	4661	6	11.8%
31	2048	6	11.8%
32	3605	5	9.8%
33	4797	5	9.8%
34	3102	5	9.8%
35	2295	5	9.8%
36	4264	5	9.8%
37	349	4	7.8%
38	1566	4	7.8%
39	4042	4	7.8%
40	3902	3	5.9%
41	1302	3	5.9%
42	2123	3	5.9%
43	4021	3	5.9%
44	2271	2	3.9%
45	3345	2	3.9%
46	1491	2	3.9%
47	2543	2	3.9%
48	903	2	3.9%
49	4790	2	3.9%
50	4654	2	3.9%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 81
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	534	50	100.0%
2	2678	41	82.0%
3	3308	41	82.0%
4	4650	32	64.0%
5	1578	23	46.0%
6	4876	22	44.0%
7	813	20	40.0%
8	4574	19	38.0%
9	3524	19	38.0%
10	589	16	32.0%
11	4873	15	30.0%
12	4946	15	30.0%
13	2514	14	28.0%
14	3652	14	28.0%
15	1883	13	26.0%
16	3475	12	24.0%
17	2124	12	24.0%
18	2204	11	22.0%
19	3113	10	20.0%
20	2365	10	20.0%
21	1147	10	20.0%
22	4238	9	18.0%
23	3978	8	16.0%
24	2113	8	16.0%
25	2691	8	16.0%
26	3421	7	14.0%
27	3658	7	14.0%
28	4981	7	14.0%
29	175	6	12.0%
30	4661	6	12.0%
31	2048	6	12.0%
32	3605	5	10.0%
33	4797	5	10.0%
34	3102	5	10.0%
35	2295	5	10.0%
36	4264	5	10.0%
37	349	4	8.0%
38	1566	4	8.0%
39	4042	4	8.0%
40	3902	3	6.0%
41	1302	3	6.0%
42	2123	3	6.0%
43	4021	3	6.0%
44	2271	2	4.0%
45	3345	2	4.0%
46	1491	2	4.0%
47	2543	2	4.0%
48	903	2	4.0%
49	4790	2	4.0%
50	4654	2	4.0%
51	4399	2	4.0%
52	4697	2	4.0%
53	3326	1	2.0%
54	4836	1	2.0%
55	2650	1	2.0%
56	3563	1	2.0%
57	245	1	2.0%
58	2061	1	2.0%
59	3118	1	2.0%
60	929	1	2.0%
61	3366	1	2.0%
62	2517	1	2.0%
63	4733	1	2.0%
64	4023	1	2.0%
65	3990	1	2.0%
66	4282	1	2.0%
67	2099	1	2.0%
68	4735	1	2.0%
69	360	1	2.0%
70	867	1	2.0%
71	3740	1	2.0%
72	4068	1	2.0%
73	190	1	2.0%
74	446	1	2.0%
75	3377	1	2.0%
76	4425	1	2.0%
77	4717	1	2.0%
78	2588	1	2.0%
79	3949	1	2.0%
80	3394	1	2.0%
81	1165	1	2.0%
